xValue    Pressure    Density    Velocity
0.4125   0.1   0.125   1.04996e-007
0.415   0.1   0.125   5.28222e-008
0.4175   0.1   0.125   2.65638e-008
0.42   0.1   0.125   1.33528e-008
0.4225   0.1   0.125   6.70877e-009
0.425   0.1   0.125   3.36885e-009
0.4275   0.1   0.125   1.69069e-009
0.43   0.1   0.125   8.47943e-010
0.4325   0.1   0.125   4.24975e-010
0.435   0.1   0.125   2.12827e-010
0.4375   0.1   0.125   1.06495e-010
0.44   0.1   0.125   5.32399e-011
0.4425   0.1   0.125   2.65902e-011
0.445   0.1   0.125   1.32664e-011
0.4475   0.1   0.125   6.61154e-012
0.45   0.1   0.125   3.29098e-012
0.4525   0.1   0.125   1.6361e-012
0.455   0.1   0.125   8.12365e-013
0.4575   0.1   0.125   4.0291e-013
0.46   0.1   0.125   1.99528e-013
0.4625   0.1   0.125   9.87432e-014
0.465   0.1   0.125   4.88397e-014
0.4675   0.1   0.125   2.41919e-014
0.47   0.1   0.125   1.21061e-014
0.4725   0.1   0.125   6.19488e-015
0.475   0.1   0.125   3.22661e-015
0.4775   0.1   0.125   1.64116e-015
0.48   0.1   0.125   6.12904e-016
0.4825   0.1   0.125   1.01306e-016
0.485   0.1   0.125   1.01307e-017
0.4875   0.1   0.125   0
0.49   0.1   0.125   0
0.4925   0.1   0.125   0
0.495   0.1   0.125   0
0.4975   0.1   0.125   0
0.5   0.1   0.125   0
